DATE,LATITUDE,LONGITUDE,ELEVATION,VIS,TMP,DEW,SLP,DIR,SPD,HEIGHT_AGL,PRECIP_HOURS,PRECIP
2022-06-01T00:00:00,29.98438,-95.36072,27.5,16000,30,22.2,10117,140,88,22000,0,0
2022-06-01T00:53:00,29.98438,-95.36072,27.5,16093,28.3,22.8,10121,130,82,22000,0,0
2022-06-01T01:53:00,29.98438,-95.36072,27.5,16093,27.8,22.8,10123,120,62,22000,0,0
2022-06-01T02:53:00,29.98438,-95.36072,27.5,16093,27.2,23.3,10125,130,51,22000,0,0
2022-06-01T03:53:00,29.98438,-95.36072,27.5,16093,26.7,23.3,10134,140,41,22000,0,0
2022-06-01T04:53:00,29.98438,-95.36072,27.5,16093,27.2,22.8,10135,160,31,22000,0,0
2022-06-01T05:20:00,29.98438,-95.36072,27.5,16093,26.7,23.3,0,150,31,549,0,0
2022-06-01T05:53:00,29.98438,-95.36072,27.5,16093,26.7,23.3,10136,150,36,610,1,0
2022-06-01T06:00:00,29.98438,-95.36072,27.5,16000,26.7,23.3,10136,150,36,0,6,0
2022-06-01T06:19:00,29.98438,-95.36072,27.5,16093,26.7,23.3,0,160,36,1402,0,0
2022-06-01T06:53:00,29.98438,-95.36072,27.5,16093,26.7,23.3,10133,160,36,22000,1,0
2022-06-01T07:53:00,29.98438,-95.36072,27.5,16093,26.1,23.3,10128,160,31,22000,1,0
2022-06-01T08:53:00,29.98438,-95.36072,27.5,16093,26.1,23.3,10128,170,31,22000,1,0
2022-06-01T09:53:00,29.98438,-95.36072,27.5,16093,25,22.8,10131,170,26,22000,1,0
2022-06-01T10:53:00,29.98438,-95.36072,27.5,16093,25,22.8,10132,180,21,22000,1,0
2022-06-01T11:53:00,29.98438,-95.36072,27.5,16093,24.4,23.3,10138,110,26,7620,1,0
2022-06-01T12:00:00,29.98438,-95.36072,27.5,16000,24.4,23.3,10138,110,26,0,0,0
2022-06-01T12:53:00,29.98438,-95.36072,27.5,16093,26.1,24.4,10142,140,21,7620,1,0
2022-06-01T13:53:00,29.98438,-95.36072,27.5,16093,27.2,23.9,10146,160,31,7620,1,0
2022-06-01T14:26:00,29.98438,-95.36072,27.5,16093,28.3,23.3,0,150,36,549,0,0
2022-06-01T14:53:00,29.98438,-95.36072,27.5,16093,28.9,22.8,10146,170,31,701,1,0
2022-06-01T15:53:00,29.98438,-95.36072,27.5,16093,28.9,21.7,10143,150,51,823,1,0
2022-06-01T16:13:00,29.98438,-95.36072,27.5,16093,31.1,21.1,0,180,41,3658,0,0
2022-06-01T16:53:00,29.98438,-95.36072,27.5,16093,30.6,21.7,10142,140,46,7620,1,0
2022-06-01T17:53:00,29.98438,-95.36072,27.5,16093,32.8,21.1,10137,180,41,1219,1,0
2022-06-01T18:00:00,29.98438,-95.36072,27.5,16000,32.8,21.1,10137,180,41,0,0,0
2022-06-01T18:53:00,29.98438,-95.36072,27.5,16093,32.8,22.8,10131,90,57,3658,1,0
